id,type,address,price,coords,contamination,distanceToDangerZone,distanceToMedianJobLocation,Zone,GreenConc,lt,lg
link_ad_82131752,Trilocale,"via Conca del Naviglio 12, Corso Genova, Milano",2200,"[45.45778139999999, 9.1760293]",0.2142151684529381,0.9184449099034926,1.3835676870210827,1.0,0.11462977145811785,45.45778139999999,9.1760293
link_ad_82686593,Trilocale,"via Egadi, Dezza, Milano",1850,"[45.4599932, 9.1584601]",0.08785768940288108,1.7508403829003467,2.5181013546955726,7.0,0.16894003541799618,45.4599932,9.1584601
link_ad_83612103,Bilocale,"via San Basilio 21, Greco - Segnano, Milano",900,"[45.50945, 9.20797]",0.23145737509184983,2.5028862035282606,5.067946704855139,9.0,0.17413316666666664,45.50945,9.20797
link_ad_82520010,Bilocale,"via Larga, Missori, Milano",1450,"[45.4605818, 9.18947]",0.2643639524903847,1.6547912471183177,0.5704182618362414,1.0,0.11462977145811785,45.4605818,9.18947
link_ad_82496696,Bilocale,"via Giampietro Lucini 19, Maggiolina, Milano",1100,"[45.4923391, 9.1845277]",0.2349888256721897,2.4916610240497143,2.988481957297085,9.0,0.17413316666666664,45.4923391,9.1845277
link_ad_83864404,Quadrilocale,"via Bartolomeo Eustachi, Morgagni, Milano",1650,"[45.47661309999999, 9.2147887]",0.1701427018706454,3.439074000232057,2.3014358018820946,3.0,0.1217181679550246,45.47661309999999,9.2147887
link_ad_83167209,Bilocale,"via Enrico Cosenz 54, Bovisa, Milano",780,"[45.5072367, 9.1622713]",0.5154700753773795,0.21232617601521536,5.0887820530659695,9.0,0.17413316666666664,45.5072367,9.1622713
link_ad_83269059,Monolocale,"via Ponale 6, Bignami - Ponale, Milano",550,"[45.5223456, 9.2092444]",0.3703729276894592,3.1657849786981376,6.479279299485877,9.0,0.17413316666666664,45.5223456,9.2092444
link_ad_83700213,Appartamento,"via Sofocle, City Life, Milano",3000,"[45.4745377, 9.158452500000001]",0.11667995764582884,2.718634502839758,2.627157423217189,8.0,0.14965863237774032,45.4745377,9.158452500000001
link_ad_72285030,Quadrilocale,"via Alberto da Giussano 11, Pagano, Milano",1650,"[45.4687409, 9.163286099999999]",0.1169645152403973,2.329945520296497,2.087437837492596,8.0,0.14965863237774032,45.4687409,9.163286099999999
link_ad_80606951,Quadrilocale,"via 20 Settembre, Vincenzo Monti, Milano",4500,"[45.4699947, 9.1703903]",0.14768910912971478,2.3057896270034868,1.5796079867806667,1.0,0.11462977145811785,45.4699947,9.1703903
link_ad_83972598,Bilocale,"via Quadrio 9, Garibaldi - Corso Como, Milano",3000,"[45.4838104, 9.1847251]",0.19156096257211175,3.1867403528407534,2.0498492365568723,9.0,0.17413316666666664,45.4838104,9.1847251
link_ad_83374851,Bilocale,"ottimo stato, secondo piano, Plebisciti - Susa, Milano",1200,"[45.4681442, 9.2225773]",0.2512862442381447,3.1135582882816317,2.5779377826904066,3.0,0.1217181679550246,45.4681442,9.2225773
link_ad_83968508,Bilocale,"via conca del naviglio 37, Ticinese, Milano",1300,"[45.4554634, 9.1780879]",0.2445683447876945,0.6949537899053007,1.4555097574627898,1.0,0.11462977145811785,45.4554634,9.1780879
link_ad_81404571,Trilocale,"via COLA MONTANO, Isola, Milano",2000,"[45.4892035, 9.185864900000002]",0.2122648583172122,2.800317302593166,2.6295380311218692,9.0,0.17413316666666664,45.4892035,9.185864900000002
link_ad_83290389,Bilocale,"via della Commenda, Quadronno - Crocetta, Milano",1500,"[45.4557934, 9.1960839]",0.34598247784015257,1.7678756751088995,1.2096973302483158,1.0,0.11462977145811785,45.4557934,9.1960839
link_ad_83717981,Bilocale,"via pier paolo pasolini 86, Cascina Merlata - Musocco, Milano",950,"[45.508549, 9.1049328]",0.6890355973591795,1.9045313870695222,8.146213290134176,8.0,0.14965863237774032,45.508549,9.1049328
link_ad_81099475,Bilocale,"via Pontaccio adiacente, Lanza, Milano",1835,"[45.4722123, 9.184036899999999]",0.18496921258338261,2.6126117248043212,0.8474115919687699,1.0,0.11462977145811785,45.4722123,9.184036899999999
link_ad_80993981,Quadrilocale,"via Arzaga adiacente, Bande Nere, Milano",2000,"[45.46256169999999, 9.136986799999999]",-0.07384768253541552,2.0064534498658437,4.126026142692673,7.0,0.16894003541799618,45.46256169999999,9.136986799999999
link_ad_83288307,Trilocale,"Galleria Unione 4, Missori, Milano",3300,"[45.4618121, 9.187339999999999]",0.24514286636258475,1.6588932447290494,0.47087302936718434,1.0,0.11462977145811785,45.4618121,9.187339999999999
link_ad_82894099,Bilocale,"via Francesco Petrarca 20, Vincenzo Monti, Milano",1600,"[45.4704048, 9.1677331]",0.1379519115871517,2.3929304984527127,1.7910197283070555,1.0,0.11462977145811785,45.4704048,9.1677331
link_ad_80543551,Bilocale,"via Perugia 10, Palestro, Milano",1500,"[45.46438999999999, 9.20346]",0.2753531531780027,2.7512105109263194,1.0828634101187893,1.0,0.11462977145811785,45.46438999999999,9.20346
link_ad_80606831,Trilocale,"corso Magenta, Cadorna - Castello, Milano",2000,"[45.4657262, 9.173159199999999]",0.16335519918357022,1.8071824251935948,1.2901383570777687,1.0,0.11462977145811785,45.4657262,9.173159199999999
link_ad_84034222,Bilocale,"via Giuseppe Pozzobonelli, Niguarda, Milano",650,"[45.52178989999999, 9.1938736]",0.5402796843700344,3.1553675107138566,6.244369716693732,9.0,0.17413316666666664,45.52178989999999,9.1938736
link_ad_83083713,Trilocale,"via Federico Confalonieri 1, Isola, Milano",2350,"[45.486441, 9.1890164]",0.19399583946506027,3.1903377594463485,2.3059028991699044,9.0,0.17413316666666664,45.486441,9.1890164
link_ad_81476813,Bilocale,"ottimo stato, primo piano, Bocconi, Milano",1000,"[45.4485736, 9.189945]",0.40416405744326767,1.151624613603423,1.9054744642554404,5.0,0.05845259457649816,45.4485736,9.189945
link_ad_81244483,Trilocale,"via Pietro Toselli, Cimiano, Milano",1300,"[45.5005667, 9.2341907]",-0.04108315137273166,0.4140237955645483,5.201212335312504,2.0,0.08483287837837838,45.5005667,9.2341907
link_ad_83866614,Quadrilocale,"via Caduti di Marcinelle 14, Rubattino, Milano",1500,"[45.4806969, 9.2501645]",-0.0015303175896406174,2.603006689265431,5.000390614174432,3.0,0.1217181679550246,45.4806969,9.2501645
link_ad_76980430,Bilocale,"viale Vincenzo Lancetti 40, Farini, Milano",1150,"[45.495197, 9.173977899999999]",0.29054732660006266,1.6761066133777947,3.5006027522077767,9.0,0.17413316666666664,45.495197,9.173977899999999
link_ad_80500882,Loft,"Ripa di Porta Ticinese 91, Navigli - Darsena, Milano",2850,"[45.4494238, 9.1649428]",0.18856424682599027,0.8038690516117818,2.6473716730087364,6.0,0.11628345240700223,45.4494238,9.1649428
link_ad_81389961,Trilocale,"via Perugia 10, Palestro, Milano",2200,"[45.46438999999999, 9.20346]",0.2753531531780027,2.7512105109263194,1.0828634101187893,1.0,0.11462977145811785,45.46438999999999,9.20346
link_ad_80600195,Bilocale,"via San Benigno, Città Studi, Milano",690,"[45.4701535, 9.2367176]",0.20749212671944406,3.4729086253630737,3.699477571271761,3.0,0.1217181679550246,45.4701535,9.2367176
link_ad_83053915,Appartamento,"via San Senatore 6-3, Missori, Milano",3333,"[45.4580918, 9.1897577]",0.28869360404496547,1.4783266149653842,0.8470160157026434,1.0,0.11462977145811785,45.4580918,9.1897577
link_ad_78573039,Trilocale,"viale Edoardo Jenner 69-3, Farini, Milano",810,"[45.4960965, 9.173188999999999]",0.30284154233231675,1.5605437501902755,3.6158955877989345,9.0,0.17413316666666664,45.4960965,9.173188999999999
link_ad_84152692,Bilocale,"piazza Erculea 5, Missori, Milano",1500,"[45.4589405, 9.1901388]",0.2823362622584682,1.5626878567214497,0.7534024209366175,1.0,0.11462977145811785,45.4589405,9.1901388
link_ad_67439579,Bilocale,"via Alberto da Giussano 24, Pagano, Milano",1050,"[45.4698957, 9.162177999999999]",0.11411308060633019,2.4823658608628745,2.196329477178061,1.0,0.11462977145811785,45.4698957,9.162177999999999
